"PP_1xBet"  52141  52141
"PP_Pay4D"  4910  4910
"PP_Pay4D2"  4638  4638
"PP_Mansion_M88LC"  3382  3382
"PP_1win_1win"  3357  3357
"PP_396club_UG396"  1205  1205
"PP_Prize4D"  1987  1987
"PP_Softswiss_betstar_SW"  1021  1021
"PP_Alpha_Marsbahis"  4366  4366
"PP_Mozzartbet"  2285  2285
"PP_BlueOceanGaming_BOG_SW3"  2922  2922
"PP_SOLID_SW_10BET"  799  799
"PP_1xBet_melbet"  1557  1557
"PP_SOLID_RDGE_VeraJohn"  387  387
"PP_1xBet_22bet"  1457  1457
"PP_Mozzartbet_Kenya"  2692  2692
"PP_Tekhou5_Roobet"  2202  2202
"PP_Everymatrix_Jojobet"  1884  1884
"PP_Sekabet"  1716  1716
"PP_888_Casino_888_Casino_-_COM"  2799  2799
"PP_1xBet_betwinner"  1509  1509
"PP_Betbuq_Playlogiq"  1626  1626
"PP_Marathonbet"  765  765
"PP_Avento_AventoNV"  682  682
"PP_888_Casino_888_Casino_UK"  1702  1702
"PP_Softswiss_upx_SW"  380  380
"PP_Globonet_Playfortuna"  374  374
"PP_SOLID_EMPIRE_Empire"  700  700
"PP_Softswiss_Vavada_SW"  945  945
"PP_Betflag_betflag.it"  244  244
"PP_Betstudios_Superbetin"  1466  1466
"PP_JSD_Xsuerte"  637  637
"PP_Voidbridge_dafa"  339  339
"PP_1xBet"  52141  52141
"PP_Pay4D"  4910  4910
"PP_Pay4D2"  4638  4638
"PP_Mansion_M88LC"  3382  3382
"PP_1win_1win"  3357  3357
"PP_396club_UG396"  1205  1205
"PP_Prize4D"  1987  1987
"PP_Softswiss_betstar_SW"  1021  1021
"PP_Alpha_Marsbahis"  4366  4366
"PP_Mozzartbet"  2285  2285
"PP_BlueOceanGaming_BOG_SW3"  2922  2922
"PP_SOLID_SW_10BET"  799  799
"PP_1xBet_melbet"  1557  1557
"PP_SOLID_RDGE_VeraJohn"  387  387
"PP_1xBet_22bet"  1457  1457
"PP_Mozzartbet_Kenya"  2692  2692
"PP_Tekhou5_Roobet"  2202  2202
"PP_Everymatrix_Jojobet"  1884  1884
"PP_Sekabet"  1716  1716
"PP_888_Casino_888_Casino_-_COM"  2799  2799
"PP_1xBet_betwinner"  1509  1509
"PP_Betbuq_Playlogiq"  1626  1626
"PP_Marathonbet"  765  765
"PP_Avento_AventoNV"  682  682
"PP_888_Casino_888_Casino_UK"  1702  1702
"PP_Softswiss_upx_SW"  380  380
"PP_Globonet_Playfortuna"  374  374
"PP_SOLID_EMPIRE_Empire"  700  700
"PP_Softswiss_Vavada_SW"  945  945
"PP_Betflag_betflag.it"  244  244
"PP_Betstudios_Superbetin"  1466  1466
"PP_JSD_Xsuerte"  637  637
"PP_Voidbridge_dafa"  339  339
"PP_1xBet"  52141  52141
"PP_Pay4D"  4910  4910
"PP_Pay4D2"  4638  4638
"PP_Mansion_M88LC"  3382  3382
"PP_1win_1win"  3357  3357
"PP_396club_UG396"  1205  1205
"PP_Prize4D"  1987  1987
"PP_Softswiss_betstar_SW"  1021  1021
"PP_Alpha_Marsbahis"  4366  4366
"PP_Mozzartbet"  2285  2285
"PP_BlueOceanGaming_BOG_SW3"  2922  2922
"PP_SOLID_SW_10BET"  799  799
"PP_1xBet_melbet"  1557  1557
"PP_SOLID_RDGE_VeraJohn"  387  387
"PP_1xBet_22bet"  1457  1457
"PP_Mozzartbet_Kenya"  2692  2692
"PP_Tekhou5_Roobet"  2202  2202
"PP_Everymatrix_Jojobet"  1884  1884
"PP_Sekabet"  1716  1716
"PP_888_Casino_888_Casino_-_COM"  2799  2799
"PP_1xBet_betwinner"  1509  1509
"PP_Betbuq_Playlogiq"  1626  1626
"PP_Marathonbet"  765  765
"PP_Avento_AventoNV"  682  682
"PP_888_Casino_888_Casino_UK"  1702  1702
"PP_Softswiss_upx_SW"  380  380
"PP_Globonet_Playfortuna"  374  374
"PP_SOLID_EMPIRE_Empire"  700  700
"PP_Softswiss_Vavada_SW"  945  945
"PP_Betflag_betflag.it"  244  244
"PP_Betstudios_Superbetin"  1466  1466
"PP_JSD_Xsuerte"  637  637
"PP_Voidbridge_dafa"  339  339
